ecell_int_id,EUtranCellFDDId,timeslice_id,period_start,CellAvailability,RrcConnEstabSuccRate,S1SigConnEstabSuccRate,ErabEstabSuccessRate,InitialErabEstabSuccessRate,AvgNumRrcConnectedUsers,OutgoingHO,DlTraffic,UlTraffic,DropsDueToUeLost,DlAvgNumActiveUe,UlAvgNumActiveUe,DlSchedulerActivityRate,UlSchedulerActivityRate,AvgNumDlUeScheduledInTti,AvgNumUlUeScheduledInTti,DlRadioUtilization,UlRadioUtilization,DlPdcpLatency,DlMacLatency,DlRlcAckFailRate,UlRlcAckFailRate,RachSuccRate,NumRrcConnEstabAttReatt,IncomingHO,target
536974528,L21-MD0447-1B,5,2017-11-11 14:00:00,100.0,100.0,100.0,100.0,100.0,0.03888888888888889,9.0,0.006352,0.000119,0.0,0.0011877777777777778,0.000755,0.0011877777777777778,0.0010266666666666666,0.956267539756782,5.907467532467532,5.0,5.0,3.09006734006734,3.0316478719534365,0.5695509309967142,0.12330456226880394,28.57142857142857,0.0,2.0,0.0
536974528,L21-MD0447-1B,1,2017-11-11 15:00:00,100.0,100.0,100.0,100.0,100.0,0.005555555555555557,6.0,5.3e-05,0.0,0.0,1.4444444444444446e-05,1.9166666666666667e-05,1.4444444444444446e-05,1.888888888888889e-05,3.173076923076924,12.764705882352946,5.0,5.0,5.133333333333334,4.052631578947368,0.0,0.0,27.02702702702703,0.0,0.0,0.0
536974528,L21-MD0447-1B,9,2017-11-11 16:00:00,100.0,100.0,100.0,100.0,100.0,0.0,7.0,0.000409,0.0,0.0,1.5555555555555555e-05,2.4722222222222226e-05,1.5555555555555555e-05,1.4444444444444446e-05,3.678571428571429,15.211538461538465,5.0,5.0,8.583333333333334,7.414634146341463,2.083333333333333,0.6451612903225806,21.66666666666667,0.0,1.0,0.0
536974528,L21-MD0447-1B,7,2017-11-11 17:00:00,100.0,100.0,100.0,100.0,100.0,0.020833333333333332,8.0,0.03902,0.0,0.0,0.001785,0.00029416666666666664,0.001788611111111111,0.0002936111111111112,0.9756173318838328,3.5950804162724688,5.0,5.0,4.87719298245614,3.0038435451051324,0.0,0.0,18.03278688524589,0.0,4.0,0.0
536974528,L21-MD0447-1B,3,2017-11-11 18:00:00,100.0,100.0,100.0,100.0,100.0,0.1,7.0,0.028061000000000003,0.001586,0.0,0.0015152777777777775,0.0013763888888888886,0.0015097222222222222,0.0010375,0.8798528058877645,5.6500669344042835,5.0,5.0,4.682438580527752,2.81792,0.01966955153422502,0.0,19.29824561403509,0.0,2.0,0.0
536974528,L21-MD0447-1B,12,2017-11-11 19:00:00,100.0,100.0,100.0,100.0,100.0,0.029166666666666667,5.0,0.011595,8.9e-05,0.0,0.0003944444444444445,0.0003413888888888888,0.0003947222222222221,0.00025,0.9852216748768472,6.883333333333334,5.0,5.0,4.479166666666667,3.1179746835443036,0.0,0.12706480304955528,14.035087719298243,0.0,3.0,0.0
536974528,L21-MD0447-1B,8,2017-11-11 20:00:00,100.0,100.0,100.0,100.0,100.0,0.005555555555555557,8.0,0.000112,0.0,0.0,1.638888888888889e-05,2.388888888888889e-05,1.638888888888889e-05,2.888888888888889e-05,4.47457627118644,8.673076923076923,5.0,5.0,3.6296296296296298,6.401913875598086,0.0,0.0,22.91666666666667,0.0,3.0,0.0
536974528,L21-MD0447-1B,13,2017-11-11 21:00:00,100.0,100.0,100.0,100.0,100.0,0.0,2.0,0.000129,4e-05,0.0,3.277777777777778e-05,0.0001236111111111111,3.277777777777778e-05,5.138888888888889e-05,1.0593220338983051,2.5297297297297296,5.0,5.0,4.3076923076923075,4.943396226415095,0.0,0.0,8.333333333333334,0.0,1.0,0.0
536974528,L21-MD0447-1B,2,2017-11-11 22:00:00,100.0,100.0,100.0,0.0,0.0,0.01805555555555556,1.0,0.002797,0.0,0.0,0.00045694444444444444,5.9444444444444445e-05,0.00045694444444444444,0.00038694444444444437,0.8790273556231003,9.44005743000718,5.0,5.0,2.994969818913481,2.2275515895147797,0.0,0.0,6.122448979591836,0.0,1.0,0.0
536974528,L21-MD0447-1B,6,2017-11-11 23:00:00,100.0,100.0,100.0,100.0,100.0,0.06666666666666668,3.0,0.064957,0.0015550000000000002,0.0,0.0031241666666666666,0.0039516666666666676,0.0031244444444444444,0.002827222222222223,0.9781294452347084,1.1351935547258794,5.0,5.0,4.693098384728341,2.85032854709175,0.03216261417728033,0.7549007670765859,2.7888446215139444,0.0,1.0,0.0
